"Loja";"Name Searched";"Name Found";"Price";"Price Float";"URL"
"Kabum";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Animal Crossing New Leaf";"ANIMAL CROSSING - NEW LEAF (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/animal-crossing-new-leaf-3ds-42124012"
"Mula Games";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"189.9";"R$ 189,90";"http://www.mulagames.com.br/Animal-Crossing--New-Leaf-3DS/prod-1385764/"
"Ponto Frio";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"179,90";"R$ 179,90";"http://search.pontofrio.com.br/search?p=R&srid=S1-1IADP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f6524777%3f&rk=1&uid=270566598&sid=2&ts=custom&rsc=ikajnSe1E7DWElia&method=and&isort=score&view=grid"
"Ponto Frio";"Animal Crossing New Leaf";"Jogo Animal Crossing: New Leaf - 3DS";"239,90";"R$ 239,90";"http://search.pontofrio.com.br/search?p=R&srid=S1-1IADP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f2182685%3f&rk=2&uid=270566598&sid=2&ts=custom&rsc=fw3lCkpP4OV%3a8aJN&method=and&isort=score&view=grid"
"Ponto Frio";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"188,00";"R$ 188,00";"http://search.pontofrio.com.br/search?p=R&srid=S1-1IADP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f6157131%3f&rk=3&uid=270566598&sid=2&ts=custom&rsc=LP04-8crXaTG6JUI&method=and&isort=score&view=grid"
"Ponto Frio";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3DS";"228,79";"R$ 228,79";"http://search.pontofrio.com.br/search?p=R&srid=S1-1IADP&lbc=pontofrio-br&w=Animal%20Crossing%20New%20Leaf&url=http%3a%2f%2fproduto.pontofrio.com.br%2f5806149%3f&rk=4&uid=270566598&sid=2&ts=custom&rsc=djP5X5LYStxR-91v&method=and&isort=score&view=grid"
"Ricardo Eletro";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Animal Crossing New Leaf";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 239,90";"R$ 239,90";"http://www.shoptime.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Shop Time";"Animal Crossing New Leaf";"3ds - Animal Crossing: New Leaf";"R$ 179,90";"R$ 179,90";"http://www.shoptime.com.br/produto/9557023/3ds-animal-crossing-new-leaf"
"Shop Time";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3ds";"R$ 222,49";"R$ 222,49";"http://www.shoptime.com.br/produto/9934519/animal-crossing-new-leaf-3ds"
"Submarino";"Animal Crossing New Leaf";"Game Animal Crossing: New Leaf - 3DS";"R$ 239,90";"R$ 239,90";"http://www.submarino.com.br/produto/113720400/game-animal-crossing-new-leaf-3ds"
"Submarino";"Animal Crossing New Leaf";"3ds - Animal Crossing: New Leaf";"R$ 179,90";"R$ 179,90";"http://www.submarino.com.br/produto/9557023/3ds-animal-crossing-new-leaf"
"Submarino";"Animal Crossing New Leaf";"Animal Crossing: New Leaf - 3ds";"R$ 222,49";"R$ 222,49";"http://www.submarino.com.br/produto/9934519/animal-crossing-new-leaf-3ds"
"Zig Store";"Animal Crossing New Leaf";"3DS - Animal Crossing: New Leaf";"R$ 155,00";"R$ 155,00";"http://www.zigstore.com.br/pesquisa/?p=Animal+Crossing+New+Leaf"
"Nintendo eShop";"Bravely Default";"Bravely Default";"$39.99*";"R$ 152,90";"http://www.nintendo.com/games/detail/_TC4w2TeJY7qrqBL64gpszI_65tjrVyp"
"Americanas";"Bravely Default";"Game Bravely Default - 3Ds";"Indisponível";"R$ 9.999,99";"http://www.americanas.com.br/produto/117676784/game-bravely-default-3ds&review=1"
"Big Boy Games";"Bravely Default";"3DS - Bravely Default";"R$ 199,99";"R$ 199,99";"http://www.bigboygames.com.br/3ds-bravely-default-p6046/"
"Balão da Informática";"Bravely Default";"-";"-";"R$ 9.999,99";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"E-Virtua";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Bravely Default";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Bravely Default";"BRAVELY DEFAULT - COLLECTOR'S EDITION (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/bravely-default-collectors-edition-3ds-42196726"
"Livraria Cultura";"Bravely Default";"BRAVELY DEFAULT (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/bravely-default-3ds-42196723"
"Magazine Luiza";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.magazineluiza.com.br/busca/<BUSCA>/"
"Mula Games";"Bravely Default";"Bravely Default - 3DS";"338.9";"R$ 338,90";"http://www.mulagames.com.br/Bravely-Default-3DS/prod-1967717/"
"Net Shoes";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ricardo Eletro";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Bravely Default";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Saraiva";"Bravely Default";"Bravely Default - 3Ds";"149,00";"R$ 149,00";"http://www.saraiva.com.br/bravely-default-3ds-6744545.html"
"Shop Facil";"Bravely Default";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"Bravely Default";"Game Bravely Default - 3Ds";"Indisponível";"R$ 9.999,99";"http://www.shoptime.com.br/produto/117676784/game-bravely-default-3ds"
"ShopB";"Bravely Default";"Jogo Bravely Default - 3DS";"R$ 229,99";"R$ 229,99";"http://www.shopb.com.br/jogo-bravely-default-3ds-7315365"
"Submarino";"Bravely Default";"Game Bravely Default - 3Ds";"Indisponível";"R$ 9.999,99";"http://www.submarino.com.br/produto/117676784/game-bravely-default-3ds"
"Walmart";"Bravely Default";"Jogo Nintendo 3DS Bravely Default Square Enix";"Indisponível";"R$ 9.999,99";"http://www.walmart.com.br//jogo-nintendo-3ds-bravely-default-square-enix/3278031/pr"
"Nintendo eShop";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked";"$29.99";"R$ 114,66";"http://www.nintendo.com/games/detail/tKDJ7tyZ-olVhVBW9mswLhlRxJr0mcZG"
"Americanas";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"R$ 189,90";"http://www.americanas.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
"Big Boy Games";"Devil Survivor Overclocked";"3DS - Shin Megami Tensei - Devil Survivor Overclocked";"R$ 99,98";"R$ 99,98";"http://www.bigboygames.com.br/pesquisa/?p=Devil+Survivor+Overclocked"
"Casas Bahia";"Devil Survivor Overclocked";"Devil Survivor Overclocked 3DS";"189,90";"R$ 189,90";"http://buscas.casasbahia.com.br/search?w=Devil+Survivor+Overclocked"
"Extra";"Devil Survivor Overclocked";"Devil Survivor Overclocked 3DS";"189,90";"R$ 189,90";"http://buscando.extra.com.br/search?p=R&srid=S1-2IADP&lbc=extra&w=Devil%20Survivor%20Overclocked&url=http%3a%2f%2fproduto.extra.com.br%2f6156360%3f&rk=1&uid=271156331&sid=2&ts=custom&rsc=3ryuf3L3mcwrh78x&method=and&isort=score&view=grid"
"E-Virtua";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Mula Games";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked - 3DS";"213.9";"R$ 213,90";"http://www.mulagames.com.br/Shin-Megami-Tensei--Devil-Survivor-Overclocked-3DS/prod-457527/"
"Net Shoes";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ponto Frio";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"R$ 189,90";"http://www.shoptime.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
"ShopB";"Devil Survivor Overclocked";"-";"-";"R$ 9.999,99";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Submarino";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"R$ 189,90";"http://www.submarino.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
"Walmart";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked - 3DS";"189.9";"R$ 189,90";"http://www.walmart.com.br//shin-megami-tensei-devil-survivor-overclocked-3ds/2255247/pr"
"Nintendo eShop";"donkey kong country returns 3D";"Donkey Kong Country Returns 3D";"$29.99*";"R$ 114,66";"http://www.nintendo.com/games/detail/zp2Ns75itEVaf0PoEIyv49f2MEBspSeA"
"Americanas";"donkey kong country returns 3D";"Game Donkey Kong: Country Returns 3D - 3DS";"Indisponível";"R$ 9.999,99";"http://www.americanas.com.br/produto/113295757/game-donkey-kong-country-returns-3d-3ds&review=1"
"Big Boy Games";"donkey kong country returns 3D";"3DS - Donkey Kong Country Returns 3D";"R$ 166,39";"R$ 166,39";"http://www.bigboygames.com.br/3ds-donkey-kong-country-returns-3d-p4977/"
"Casas Bahia";"donkey kong country returns 3D";"Jogo Donkey Kong: Country Returns 3D - 3DS";"229,90";"R$ 229,90";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-6DFWP&lbc=casasbahia&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.casasbahia.com.br%2f5003839%3f&rk=1&uid=271407477&sid=2&ts=custom&rsc=ocJnHCQx9rytb9ia&method=and&isort=score&view=grid"
"Casas Bahia";"donkey kong country returns 3D";"DONKEY KONG COUNTRY RETURNS - 3DS";"239,99";"R$ 239,99";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-6DFWP&lbc=casasbahia&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.casasbahia.com.br%2f6433071%3f&rk=2&uid=271407477&sid=2&ts=custom&rsc=wrcRLZGm5nSH8IyF&method=and&isort=score&view=grid"
"Casas Bahia";"donkey kong country returns 3D";"Jogo Donkey Kong: Country Returns 3D - 3DS";"Indisponível";"R$ 9.999,99";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-6DFWP&lbc=casasbahia&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.casasbahia.com.br%2f2088333%3f&rk=3&uid=271407477&sid=2&ts=custom&rsc=C-2-Rd4uV0Upe7%3ab&method=and&isort=score&view=grid"
"Extra";"donkey kong country returns 3D";"Jogo Donkey Kong: Country Returns 3D - 3DS";"229,90";"R$ 229,90";"http://buscando.extra.com.br/search?p=R&srid=S1-1DFWP&lbc=extra&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.extra.com.br%2f5003839%3f&rk=1&uid=271438480&sid=2&ts=custom&rsc=YutWKiM4WTupl3FR&method=and&isort=score&view=grid"
"Extra";"donkey kong country returns 3D";"DONKEY KONG COUNTRY RETURNS - 3DS";"239,99";"R$ 239,99";"http://buscando.extra.com.br/search?p=R&srid=S1-1DFWP&lbc=extra&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.extra.com.br%2f6433071%3f&rk=2&uid=271438480&sid=2&ts=custom&rsc=bfdVfqs9WMKMP0Gl&method=and&isort=score&view=grid"
"Extra";"donkey kong country returns 3D";"Jogo Donkey Kong: Country Returns 3D - 3DS";"Indisponível";"R$ 9.999,99";"http://buscando.extra.com.br/search?p=R&srid=S1-1DFWP&lbc=extra&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.extra.com.br%2f2088333%3f&rk=3&uid=271438480&sid=2&ts=custom&rsc=OJsSZDtJ%3a%3ax4VIR-&method=and&isort=score&view=grid"
"E-Virtua";"donkey kong country returns 3D";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"FNAC";"donkey kong country returns 3D";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"donkey kong country returns 3D";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"donkey kong country returns 3D";"DONKEY KONG COUNTRY RETURNS 3D";"R$ 108,80";"R$ 108,80";"http://www.livrariacultura.com.br/p/donkey-kong-country-returns-3d-42744959"
"Livraria Cultura";"donkey kong country returns 3D";"DONKEY KONG COUNTRY RETURNS 3D (3DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/donkey-kong-country-returns-3d-3ds-42112046"
"Mula Games";"donkey kong country returns 3D";"Donkey Kong Country Returns 3D - 3DS";"188.9";"R$ 188,90";"http://www.mulagames.com.br/Donkey-Kong-Country-Returns-3D-3DS/prod-1344698/"
"Ponto Frio";"donkey kong country returns 3D";"Jogo Donkey Kong: Country Returns 3D - 3DS";"229,90";"R$ 229,90";"http://search.pontofrio.com.br/search?p=R&srid=S1-2DFWP&lbc=pontofrio-br&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.pontofrio.com.br%2f5003839%3f&rk=1&uid=271561896&sid=2&ts=custom&rsc=ooNcS3pBGcNPHkME&method=and&isort=score&view=grid"
"Ponto Frio";"donkey kong country returns 3D";"Jogo Donkey Kong: Country Returns 3D - 3DS";"Indisponível";"R$ 9.999,99";"http://search.pontofrio.com.br/search?p=R&srid=S1-2DFWP&lbc=pontofrio-br&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.pontofrio.com.br%2f2088333%3f&rk=2&uid=271561896&sid=2&ts=custom&rsc=vgHFMCS%3acHBGlPJ0&method=and&isort=score&view=grid"
"Ponto Frio";"donkey kong country returns 3D";"DONKEY KONG COUNTRY RETURNS - 3DS";"239,99";"R$ 239,99";"http://search.pontofrio.com.br/search?p=R&srid=S1-2DFWP&lbc=pontofrio-br&w=donkey%20kong%20country%20returns%203D&url=http%3a%2f%2fproduto.pontofrio.com.br%2f6433071%3f&rk=3&uid=271561896&sid=2&ts=custom&rsc=CT-zSkEIYb-f7pI5&method=and&isort=score&view=grid"
"Ricardo Eletro";"donkey kong country returns 3D";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"donkey kong country returns 3D";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"donkey kong country returns 3D";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"donkey kong country returns 3D";"Game Donkey Kong: Country Returns 3D - 3DS";"Indisponível";"R$ 9.999,99";"http://www.shoptime.com.br/produto/113295757/game-donkey-kong-country-returns-3d-3ds"
"Submarino";"donkey kong country returns 3D";"Game Donkey Kong: Country Returns 3D - 3DS";"Indisponível";"R$ 9.999,99";"http://www.submarino.com.br/produto/113295757/game-donkey-kong-country-returns-3d-3ds"
"Nintendo eShop";"dragon ball Z Extreme Butoden";"DRAGON BALL Z: Extreme Butoden";"$29.99*";"R$ 114,66";"http://www.nintendo.com/games/detail/chAy6-TMIVkIBoiBlVer7YXPHdzKxoTP"
"Americanas";"dragon ball Z Extreme Butoden";"Dragon Ball Z Extreme Butoden N3ds";"R$ 299,90";"R$ 299,90";"http://www.americanas.com.br/produto/12062525/dragon-ball-z-extreme-butoden-n3ds"
"Big Boy Games";"dragon ball Z Extreme Butoden";"3DS - Dragon Ball Z Extreme Butoden - Pré-Venda para 10/11/2015";"R$ 193,84";"R$ 193,84";"http://www.bigboygames.com.br/pesquisa/?p=dragon+ball+Z+Extreme+Butoden"
"E-Virtua";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"FNAC";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Mula Games";"dragon ball Z Extreme Butoden";"Dragon Ball Z: Extreme Butoden - 3DS";"269.9";"R$ 269,90";"http://www.mulagames.com.br/Dragon-Ball-Z--Extreme-Butoden-3DS/prod-3590202/"
"Ricardo Eletro";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"dragon ball Z Extreme Butoden";"Dragon Ball Z Extreme Butoden N3ds";"R$ 299,90";"R$ 299,90";"http://www.shoptime.com.br/produto/12062525/dragon-ball-z-extreme-butoden-n3ds"
"ShopB";"dragon ball Z Extreme Butoden";"-";"-";"R$ 9.999,99";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Submarino";"dragon ball Z Extreme Butoden";"Dragon Ball Z Extreme Butoden N3ds";"R$ 299,90";"R$ 299,90";"http://www.submarino.com.br/produto/12062525/dragon-ball-z-extreme-butoden-n3ds"
"Walmart";"dragon ball Z Extreme Butoden";"Dragon Ball Z Extreme Butoden N3DS";"299.9";"R$ 299,90";"http://www.walmart.com.br//dragon-ball-z-extreme-butoden-n3ds/3629726/pr"
"Nintendo eShop";"Dragon Quest VI";"Dragon Quest VI: Realms Of Revelation";"Indisponível";"R$ 9.999,99";"http://www.nintendo.com/games/detail/XM1D8PkRypvs3R75WXj39OfbjMoMQEnD"
"Big Boy Games";"Dragon Quest VI";"DS - Dragon Quest VI: Realms of Revelation";"R$ 99,90";"R$ 99,90";"http://www.bigboygames.com.br/pesquisa/?p=Dragon+Quest+VI"
"E-Virtua";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"FNAC";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Dragon Quest VI";"DRAGON QUEST VI";"R$ 250,30";"R$ 250,30";"http://www.livrariacultura.com.br/p/dragon-quest-vi-29852105"
"Livraria Cultura";"Dragon Quest VI";"DRAGON QUEST VI - REALMS OF REVELATION (DS)";"Indisponível";"R$ 9.999,99";"http://www.livrariacultura.com.br/p/dragon-quest-vi-realms-of-revelation-ds-29731775"
"Mula Games";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://www.mulagames.com.br/produtos-index/catalogo_produtos/-/-/<BUSCA>/-/-/-/-/-/"
"Ricardo Eletro";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Dragon Quest VI";"-";"-";"R$ 9.999,99";"http://ww2.shopfacil.com.br/<BUSCA>"
"Americanas";"Fantasy Life 3DS";"Fantasy Life N3ds";"R$ 249,90";"R$ 249,90";"http://www.americanas.com.br/produto/9957093/fantasy-life-n3ds"
"Big Boy Games";"Fantasy Life 3DS";"3DS - Fantasy Life";"R$ 210,00";"R$ 210,00";"http://www.bigboygames.com.br/3ds-fantasy-life-p6685/"
"Casas Bahia";"Fantasy Life 3DS";"Fantasy Life N3DS";"249,90";"R$ 249,90";"http://buscas.casasbahia.com.br/search?p=R&srid=S1-2IADP&lbc=casasbahia&w=Fantasy%20Life%203DS&url=http%3a%2f%2fproduto.casasbahia.com.br%2f6156299%3f&rk=1&uid=272271641&sid=2&ts=custom&rsc=MPEwJBd4CHDWGLuM&method=and&isort=score&view=grid"
